Date,Price,Date2
2011-05-15,71.1,15/5/2011
2011-07-01,71.38,1/7/2011
2011-11-04,76.79,4/11/2011
2011-11-16,74.36,16/11/2011
2011-12-01,73.5,1/12/2011
2012-04-01,73.51,1/4/2012
2012-05-24,81.75,24/5/2012
2012-06-03,79.61,3/6/2012
2012-06-29,76.39,29/6/2012
2012-07-24,77.3,24/7/2012
2012-07-25,75.91,25/7/2012
2012-08-01,75.91,1/8/2012
2012-10-09,75.17,9/10/2012
2012-10-27,75.47,27/10/2012
2012-11-16,74.22,16/11/2012
2013-01-01,74.4,1/1/2013
2013-01-18,74.08,18/1/2013
2013-02-16,76.04,16/2/2013
2013-03-02,77.88,2/3/2013
2013-03-16,75.26,16/3/2013
2013-04-02,73.94,2/4/2013
2013-04-16,72.63,16/4/2013
2013-05-01,69.35,1/5/2013
2013-06-01,70.33,1/6/2013
2013-06-16,72.96,16/6/2013
2013-06-29,75.41,29/6/2013
2013-07-15,77.21,15/7/2013
2013-08-01,78.12,1/8/2013
2013-09-01,81.21,1/9/2013
2013-09-14,83.35,14/9/2013
2013-10-01,79.35,1/10/2013
2013-11-01,77.84,1/11/2013
2013-12-21,78.38,21/12/2013
2014-01-04,79.38,4/1/2014
2014-03-01,80.18,1/3/2014
2014-04-01,79.19,1/4/2014
2014-04-16,78.27,16/4/2014
2014-06-07,78.38,7/6/2014
2014-06-25,78.43,25/6/2014
2014-07-01,80.68,1/7/2014
2014-08-01,79.49,1/8/2014
2014-08-15,77.11,15/8/2014
2014-08-31,75.13,31/8/2014
2014-10-01,74.42,1/10/2014
2014-10-15,73.1,15/10/2014
2014-11-01,70.45,1/11/2014
2014-12-01,69.45,1/12/2014
2014-12-16,67.27,16/12/2014
2015-01-17,64.72,17/1/2015
2015-02-04,62.01,4/2/2015
2015-02-16,62.81,16/2/2015
2015-03-01,66.18,1/3/2015
2015-04-02,66.05,2/4/2015
2015-04-15,65.17,15/4/2015
2015-05-01,69.5,1/5/2015
2015-05-16,72.94,16/5/2015
2015-06-16,73.77,16/6/2015
2015-07-01,73.38,1/7/2015
2015-07-15,70.7,15/7/2015
2015-08-01,68.05,1/8/2015
2015-08-15,66.72,15/8/2015
2015-09-01,64.61,1/9/2015
2015-11-01,64.15,1/11/2015
2015-11-16,64.52,16/11/2015
2015-12-01,63.91,1/12/2015
2015-12-16,63.38,16/12/2015
2016-01-01,62.71,1/1/2016
2016-01-16,62.38,16/1/2016
2016-02-01,62.33,1/2/2016
2016-02-17,62,17/2/2016
2016-03-01,58.99,1/3/2016
2016-03-09,58.99,9/3/2016
2016-03-17,62.19,17/3/2016
2016-04-05,64.53,5/4/2016
2016-04-16,65.41,16/4/2016
2016-05-01,66.87,1/5/2016
2016-05-17,67.64,17/5/2016
2016-06-01,80.4,1/6/2016
2016-06-16,70.46,16/6/2016
2016-07-01,69.37,1/7/2016
2016-07-15,66.96,15/7/2016
2016-08-01,65.55,1/8/2016
2016-08-15,64.47,15/8/2016
2016-09-01,68.1,1/9/2016
2016-10-01,69.32,1/10/2016
2016-10-05,69.43,5/10/2016
2016-10-15,71.29,15/10/2016
2016-11-06,72.64,6/11/2016
2016-11-16,70.78,16/11/2016
2016-12-01,70.96,1/12/2016
2016-12-17,74.02,17/12/2016
2017-01-01,75.8,1/1/2017
2017-01-16,76.37,16/1/2017
2017-02-23,76.1,23/2/2017
2017-04-01,70.91,1/4/2017
2017-04-16,72.81,16/4/2017