SlNo,Year,Month,Rainfall,YearMonth
864,1942,12,250,23316
865,1943,1,256,23317
866,1943,2,0,23318
867,1943,3,75,23319
868,1943,4,577,23320
869,1943,5,1631,23321
870,1943,6,630,23322
871,1943,7,1505,23323
872,1943,8,545,23324
873,1943,9,1423,23325
874,1943,10,2847,23326
875,1943,11,650,23327
876,1943,12,0,23328
877,1944,1,0,23329
878,1944,2,402,23330
879,1944,3,415,23331
880,1944,4,218,23332
881,1944,5,805,23333
882,1944,6,895,23334
883,1944,7,1766,23335
884,1944,8,632,23336
885,1944,9,1291,23337
886,1944,10,1681,23338
887,1944,11,796,23339
888,1944,12,83,23340
889,1945,1,0,23341
890,1945,2,0,23342
891,1945,3,0,23343
892,1945,4,535,23344
893,1945,5,1088,23345
894,1945,6,517,23346
895,1945,7,1958,23347
896,1945,8,789,23348
897,1945,9,739,23349
898,1945,10,700,23350
899,1945,11,302,23351
900,1945,12,0,23352
901,1946,1,0,23353
902,1946,2,18,23354
903,1946,3,177,23355
904,1946,4,480,23356
905,1946,5,868,23357
906,1946,6,828,23358
907,1946,7,1199,23359
908,1946,8,1795,23360
909,1946,9,1616,23361
910,1946,10,1165,23362
911,1946,11,1520,23363
912,1946,12,402,23364
913,1947,1,88,23365
914,1947,2,55,23366
915,1947,3,133,23367
916,1947,4,237,23368
917,1947,5,605,23369
918,1947,6,930,23370
919,1947,7,1521,23371
920,1947,8,1936,23372
921,1947,9,1215,23373
922,1947,10,1286,23374
923,1947,11,126,23375
924,1947,12,167,23376
925,1948,1,55,23377
926,1948,2,0,23378
927,1948,3,45,23379
928,1948,4,592,23380
929,1948,5,1476,23381
930,1948,6,1251,23382
931,1948,7,1215,23383
932,1948,8,2150,23384
933,1948,9,605,23385
934,1948,10,1075,23386
935,1948,11,939,23387
936,1948,12,50,23388
937,1949,1,0,23389
938,1949,2,6,23390
939,1949,3,25,23391
940,1949,4,236,23392
941,1949,5,863,23393
942,1949,6,750,23394
943,1949,7,1596,23395
944,1949,8,1306,23396
945,1949,9,1016,23397
946,1949,10,1711,23398
947,1949,11,71,23399
948,1949,12,0,23400
949,1950,1,2,23401
950,1950,2,165,23402
951,1950,3,30,23403
952,1950,4,13,23404
953,1950,5,889,23405
954,1950,6,664,23406
955,1950,7,1906,23407
956,1950,8,1490,23408
957,1950,9,1476,23409
958,1950,10,1276,23410
959,1950,11,861,23411
960,1950,12,1,23412
961,1951,1,1,23413
962,1951,2,0,23414
963,1951,3,140,23415
964,1951,4,577,23416
965,1951,5,1481,23417
966,1951,6,818,23418
967,1951,7,1783,23419
968,1951,8,602,23420
969,1951,9,1965,23421
970,1951,10,1308,23422
971,1951,11,320,23423
972,1951,12,0,23424
973,1952,1,0,23425
974,1952,2,176,23426
975,1952,3,5,23427
976,1952,4,375,23428
977,1952,5,960,23429
978,1952,6,540,23430
979,1952,7,1274,23431
980,1952,8,1190,23432
981,1952,9,610,23433
982,1952,10,1961,23434
983,1952,11,0,23435
984,1952,12,604,23436
985,1953,1,4,23437
986,1953,2,6,23438
987,1953,3,2,23439
988,1953,4,900,23440
989,1953,5,440,23441
990,1953,6,1216,23442
991,1953,7,2745,23443
992,1953,8,983,23444
993,1953,9,1291,23445
994,1953,10,3500,23446
995,1953,11,32,23447
996,1953,12,0,23448
997,1954,1,27,23449
998,1954,2,5,23450
999,1954,3,66,23451
1000,1954,4,497,23452
1001,1954,5,1791,23453
1002,1954,6,1000,23454
1003,1954,7,2193,23455
1004,1954,8,1833,23456
1005,1954,9,404,23457
1006,1954,10,1956,23458
1007,1954,11,0,23459
1008,1954,12,218,23460
1009,1955,1,22,23461
1010,1955,2,13,23462
1011,1955,3,212,23463
1012,1955,4,703,23464
1013,1955,5,1841,23465
1014,1955,6,908,23466
1015,1955,7,663,23467
1016,1955,8,1158,23468
1017,1955,9,1938,23469
1018,1955,10,1931,23470
1019,1955,11,187,23471
1020,1955,12,49,23472
1021,1956,1,11,23473
1022,1956,2,30,23474
1023,1956,3,2,23475
1024,1956,4,781,23476
1025,1956,5,350,23477
1026,1956,6,1341,23478
1027,1956,7,1571,23479
1028,1956,8,810,23480
1029,1956,9,1335,23481
1030,1956,10,3078,23482
1031,1956,11,1348,23483
1032,1956,12,13,23484
1033,1957,1,0,23485
1034,1957,2,16,23486
1035,1957,3,105,23487
1036,1957,4,202,23488
1037,1957,5,1943,23489
1038,1957,6,1346,23490
1039,1957,7,1298,23491
1040,1957,8,818,23492
1041,1957,9,475,23493
1042,1957,10,1800,23494
1043,1957,11,836,23495
1044,1957,12,4,23496
1045,1958,1,73,23497
1046,1958,2,54,23498
1047,1958,3,81,23499
1048,1958,4,711,23500
1049,1958,5,1618,23501
1050,1958,6,1063,23502
1051,1958,7,1435,23503
1052,1958,8,1655,23504
1053,1958,9,1296,23505
1054,1958,10,1481,23506
1055,1958,11,685,23507
1056,1958,12,18,23508
1057,1959,1,0,23509
1058,1959,2,103,23510
1059,1959,3,0,23511
1060,1959,4,255,23512
1061,1959,5,994,23513
1062,1959,6,1918,23514
1063,1959,7,2348,23515
1064,1959,8,1200,23516
1065,1959,9,1903,23517
1066,1959,10,759,23518
1067,1959,11,447,23519
1068,1959,12,39,23520
1069,1960,1,1,23521
1070,1960,2,0,23522
1071,1960,3,315,23523
1072,1960,4,362,23524
1073,1960,5,901,23525
1074,1960,6,674,23526
1075,1960,7,1546,23527
1076,1960,8,694,23528
1077,1960,9,1610,23529
1078,1960,10,1348,23530
1079,1960,11,705,23531
1080,1960,12,1,23532
1081,1961,1,22,23533
1082,1961,2,30,23534
1083,1961,3,30,23535
1084,1961,4,714,23536
1085,1961,5,1466,23537
1086,1961,6,1391,23538
1087,1961,7,3147,23539
1088,1961,8,1224,23540
1089,1961,9,605,23541
1090,1961,10,1833,23542
1091,1961,11,193,23543
1092,1961,12,18,23544
1093,1962,1,15,23545
1094,1962,2,71,23546
1095,1962,3,51,23547
1096,1962,4,1096,23548
1097,1962,5,1421,23549
1098,1962,6,487,23550
1099,1962,7,1503,23551
1100,1962,8,1428,23552
1101,1962,9,1481,23553
1102,1962,10,2318,23554
1103,1962,11,262,23555
1104,1962,12,680,23556
1105,1963,1,29,23557
1106,1963,2,2,23558
1107,1963,3,128,23559
1108,1963,4,590,23560
1109,1963,5,776,23561
1110,1963,6,700,23562
1111,1963,7,1206,23563
1112,1963,8,1613,23564
1113,1963,9,1075,23565
1114,1963,10,2178,23566
1115,1963,11,153,23567
1116,1963,12,155,23568
1117,1964,1,0,23569
1118,1964,2,0,23570
1119,1964,3,4,23571
1120,1964,4,238,23572
1121,1964,5,853,23573
1122,1964,6,950,23574
1123,1964,7,2225,23575
1124,1964,8,2066,23576
1125,1964,9,1896,23577
1126,1964,10,1360,23578
1127,1964,11,1151,23579
1128,1964,12,35,23580
1129,1965,1,56,23581
1130,1965,2,0,23582
1131,1965,3,25,23583
1132,1965,4,200,23584
1133,1965,5,507,23585
1134,1965,6,713,23586
1135,1965,7,1173,23587
1136,1965,8,1326,23588
1137,1965,9,809,23589
1138,1965,10,153,23590
1139,1965,11,397,23591
1140,1965,12,307,23592
1141,1966,1,30,23593
1142,1966,2,0,23594
1143,1966,3,41,23595
1144,1966,4,302,23596
1145,1966,5,1123,23597
1146,1966,6,719,23598
1147,1966,7,1521,23599
1148,1966,8,763,23600
1149,1966,9,2400,23601
1150,1966,10,1641,23602
1151,1966,11,1611,23603
1152,1966,12,245,23604
1153,1967,1,88,23605
1154,1967,2,0,23606
1155,1967,3,40,23607
1156,1967,4,273,23608
1157,1967,5,695,23609
1158,1967,6,1051,23610
1159,1967,7,2161,23611
1160,1967,8,849,23612
1161,1967,9,382,23613
1162,1967,10,969,23614
1163,1967,11,197,23615
1164,1967,12,222,23616
1165,1968,1,0,23617
1166,1968,2,121,23618
1167,1968,3,75,23619
1168,1968,4,559,23620
1169,1968,5,715,23621
1170,1968,6,935,23622
1171,1968,7,1395,23623
1172,1968,8,630,23624
1173,1968,9,2271,23625
1174,1968,10,1043,23626
1175,1968,11,275,23627
1176,1968,12,65,23628
1177,1969,1,0,23629
1178,1969,2,0,23630
1179,1969,3,54,23631
1180,1969,4,460,23632
1181,1969,5,1066,23633
1182,1969,6,599,23634
1183,1969,7,1463,23635
1184,1969,8,1606,23636
1185,1969,9,666,23637
1186,1969,10,1743,23638
1187,1969,11,919,23639
1188,1969,12,287,23640
1189,1970,1,12,23641
1190,1970,2,30,23642
1191,1970,3,63,23643
1192,1970,4,539,23644
1193,1970,5,1263,23645
1194,1970,6,710,23646
1195,1970,7,1071,23647
1196,1970,8,1106,23648
1197,1970,9,1021,23649
1198,1970,10,2246,23650
1199,1970,11,275,23651
1200,1970,12,3,23652
1201,1971,1,2,23653
1202,1971,2,34,23654
1203,1971,3,25,23655
1204,1971,4,425,23656
1205,1971,5,1074,23657
1206,1971,6,1119,23658
1207,1971,7,759,23659
1208,1971,8,1726,23660
1209,1971,9,1738,23661
1210,1971,10,1115,23662
1211,1971,11,192,23663
1212,1971,12,110,23664
1213,1972,1,0,23665
1214,1972,2,0,23666
1215,1972,3,0,23667
1216,1972,4,272,23668
1217,1972,5,1736,23669
1218,1972,6,1029,23670
1219,1972,7,1180,23671
1220,1972,8,569,23672
1221,1972,9,1740,23673
1222,1972,10,1211,23674
1223,1972,11,246,23675
1224,1972,12,485,23676
1225,1973,1,0,23677
1226,1973,2,0,23678
1227,1973,3,0,23679
1228,1973,4,340,23680
1229,1973,5,990,23681
1230,1973,6,1223,23682
1231,1973,7,1508,23683
1232,1973,8,1716,23684
1233,1973,9,1055,23685
1234,1973,10,1613,23686
1235,1973,11,344,23687
1236,1973,12,121,23688
1237,1974,1,12,23689
1238,1974,2,0,23690
1239,1974,3,13,23691
1240,1974,4,412,23692
1241,1974,5,1029,23693
1242,1974,6,349,23694
1243,1974,7,1726,23695
1244,1974,8,904,23696
1245,1974,9,2271,23697
1246,1974,10,1366,23698
1247,1974,11,79,23699
1248,1974,12,0,23700
1249,1975,1,32,23701
1250,1975,2,61,23702
1251,1975,3,227,23703
1252,1975,4,237,23704
1253,1975,5,1136,23705
1254,1975,6,1239,23706
1255,1975,7,1711,23707
1256,1975,8,1551,23708
1257,1975,9,1671,23709
1258,1975,10,1365,23710
1259,1975,11,786,23711
1260,1975,12,15,23712
1261,1976,1,0,23713
1262,1976,2,0,23714
1263,1976,3,5,23715
1264,1976,4,960,23716
1265,1976,5,243,23717
1266,1976,6,547,23718
1267,1976,7,980,23719
1268,1976,8,1056,23720
1269,1976,9,580,23721
1270,1976,10,477,23722
1271,1976,11,893,23723
1272,1976,12,4,23724
1273,1977,1,0,23725
1274,1977,2,6,23726
1275,1977,3,153,23727
1276,1977,4,674,23728
1277,1977,5,1495,23729
1278,1977,6,1150,23730
1279,1977,7,1255,23731
1280,1977,8,1261,23732
1281,1977,9,1401,23733
1282,1977,10,2288,23734
1283,1977,11,866,23735
1284,1977,12,0,23736
1285,1978,1,6,23737
1286,1978,2,101,23738
1287,1978,3,17,23739
1288,1978,4,557,23740
1289,1978,5,1246,23741
1290,1978,6,1005,23742
1291,1978,7,1691,23743
1292,1978,8,1288,23744
1293,1978,9,1545,23745
1294,1978,10,1115,23746
1295,1978,11,894,23747
1296,1978,12,412,23748
1297,1979,1,0,23749
1298,1979,2,252,23750
1299,1979,3,70,23751
1300,1979,4,447,23752
1301,1979,5,635,23753
1302,1979,6,1543,23754
1303,1979,7,1053,23755
1304,1979,8,1481,23756
1305,1979,9,2208,23757
1306,1979,10,1261,23758
1307,1979,11,1279,23759
1308,1979,12,4,23760
1309,1980,1,0,23761
1310,1980,2,0,23762
1311,1980,3,25,23763
1312,1980,4,417,23764
1313,1980,5,884,23765
1314,1980,6,1128,23766
1315,1980,7,1735,23767
1316,1980,8,820,23768
1317,1980,9,2008,23769
1318,1980,10,1014,23770
1319,1980,11,530,23771
1320,1980,12,12,23772
1321,1981,1,45,23773
1322,1981,2,0,23774
1323,1981,3,362,23775
1324,1981,4,288,23776
1325,1981,5,990,23777
1326,1981,6,660,23778
1327,1981,7,988,23779
1328,1981,8,1801,23780
1329,1981,9,2231,23781
1330,1981,10,1310,23782
1331,1981,11,439,23783
1332,1981,12,131,23784
1333,1982,1,0,23785
1334,1982,2,0,23786
1335,1982,3,6,23787
1336,1982,4,220,23788
1337,1982,5,879,23789
1338,1982,6,885,23790
1339,1982,7,830,23791
1340,1982,8,1044,23792
1341,1982,9,1001,23793
1342,1982,10,910,23794
1343,1982,11,527,23795
1344,1982,12,10,23796
1345,1983,1,0,23797
1346,1983,2,0,23798
1347,1983,3,0,23799
1348,1983,4,22,23800
1349,1983,5,950,23801
1350,1983,6,1673,23802
1351,1983,7,1216,23803
1352,1983,8,1636,23804
1353,1983,9,1466,23805
1354,1983,10,1165,23806
1355,1983,11,161,23807
1356,1983,12,395,23808
1357,1984,1,2,23809
1358,1984,2,108,23810
1359,1984,3,925,23811
1360,1984,4,480,23812
1361,1984,5,532,23813
1362,1984,6,840,23814
1363,1984,7,1698,23815
1364,1984,8,754,23816
1365,1984,9,1701,23817
1366,1984,10,1278,23818
1367,1984,11,193,23819
1368,1984,12,96,23820
1369,1985,1,41,23821
1370,1985,2,0,23822
1371,1985,3,146,23823
1372,1985,4,382,23824
1373,1985,5,484,23825
1374,1985,6,983,23826
1375,1985,7,743,23827
1376,1985,8,1004,23828
1377,1985,9,1326,23829
1378,1985,10,470,23830
1379,1985,11,380,23831
1380,1985,12,64,23832
1381,1986,1,241,23833
1382,1986,2,116,23834
1383,1986,3,24,23835
1384,1986,4,313,23836
1385,1986,5,585,23837
1386,1986,6,1258,23838
1387,1986,7,759,23839
1388,1986,8,1341,23840
1389,1986,9,2203,23841
1390,1986,10,856,23842
1391,1986,11,950,23843
1392,1986,12,163,23844
1393,1987,1,0,23845
1394,1987,2,0,23846
1395,1987,3,108,23847
1396,1987,4,143,23848
1397,1987,5,664,23849
1398,1987,6,1105,23850
1399,1987,7,715,23851
1400,1987,8,1371,23852
1401,1987,9,1366,23853
1402,1987,10,1733,23854
1403,1987,11,835,23855
1404,1987,12,510,23856
1405,1988,1,0,23857
1406,1988,2,51,23858
1407,1988,3,70,23859
1408,1988,4,683,23860
1409,1988,5,681,23861
1410,1988,6,462,23862
1411,1988,7,2021,23863
1412,1988,8,2196,23864
1413,1988,9,2015,23865
1414,1988,10,232,23866
1415,1988,11,136,23867
1416,1988,12,245,23868
1417,1989,1,0,23869
1418,1989,2,0,23870
1419,1989,3,151,23871
1420,1989,4,232,23872
1421,1989,5,704,23873
1422,1989,6,1055,23874
1423,1989,7,2440,23875
1424,1989,8,968,23876
1425,1989,9,1626,23877
1426,1989,10,1229,23878
1427,1989,11,275,23879
1428,1989,12,83,23880
1429,1990,1,25,23881
1430,1990,2,0,23882
1431,1990,3,25,23883
1432,1990,4,151,23884
1433,1990,5,1463,23885
1434,1990,6,795,23886
1435,1990,7,944,23887
1436,1990,8,1366,23888
1437,1990,9,639,23889
1438,1990,10,1360,23890
1439,1990,11,590,23891
1440,1990,12,25,23892
1441,1991,1,12,23893
1442,1991,2,11,23894
1443,1991,3,45,23895
1444,1991,4,816,23896
1445,1991,5,1358,23897
1446,1991,6,1855,23898
1447,1991,7,1416,23899
1448,1991,8,1164,23900
1449,1991,9,1351,23901
1450,1991,10,2183,23902
1451,1991,11,828,23903
1452,1991,12,0,23904
1453,1992,1,12,23905
1454,1992,2,0,23906
1455,1992,3,0,23907
1456,1992,4,305,23908
1457,1992,5,1043,23909
1458,1992,6,1911,23910
1459,1992,7,1094,23911
1460,1992,8,1393,23912
1461,1992,9,1493,23913
1462,1992,10,1165,23914
1463,1992,11,1753,23915
1464,1992,12,5,23916
1465,1993,1,0,23917
1466,1993,2,0,23918
1467,1993,3,121,23919
1468,1993,4,252,23920
1469,1993,5,607,23921
1470,1993,6,1483,23922
1471,1993,7,1328,23923
1472,1993,8,1140,23924
1473,1993,9,1353,23925
1474,1993,10,2226,23926
1475,1993,11,340,23927
1476,1993,12,475,23928
1477,1994,1,245,23929
1478,1994,2,27,23930
1479,1994,3,93,23931
1480,1994,4,352,23932
1481,1994,5,851,23933
1482,1994,6,1233,23934
1483,1994,7,1936,23935
1484,1994,8,445,23936
1485,1994,9,830,23937
1486,1994,10,2580,23938
1487,1994,11,407,23939
1488,1994,12,30,23940
1489,1995,1,81,23941
1490,1995,2,0,23942
1491,1995,3,108,23943
1492,1995,4,479,23944
1493,1995,5,913,23945
1494,1995,6,622,23946
1495,1995,7,1165,23947
1496,1995,8,1298,23948
1497,1995,9,1190,23949
1498,1995,10,1301,23950
1499,1995,11,342,23951
1500,1995,12,0,23952
1501,1996,1,3,23953
1502,1996,2,0,23954
1503,1996,3,8,23955
1504,1996,4,678,23956
1505,1996,5,693,23957
1506,1996,6,1079,23958
1507,1996,7,770,23959
1508,1996,8,1993,23960
1509,1996,9,2176,23961
1510,1996,10,871,23962
1511,1996,11,88,23963
1512,1996,12,303,23964
1513,1997,1,49,23965
1514,1997,2,0,23966
1515,1997,3,227,23967
1516,1997,4,400,23968
1517,1997,5,580,23969
1518,1997,6,1185,23970
1519,1997,7,938,23971
1520,1997,8,1245,23972
1521,1997,9,1445,23973
1522,1997,10,1801,23974
1523,1997,11,1306,23975
1524,1997,12,298,23976
1525,1998,1,0,23977
1526,1998,2,4,23978
1527,1998,3,70,23979
1528,1998,4,517,23980
1529,1998,5,494,23981
1530,1998,6,735,23982
1531,1998,7,1908,23983
1532,1998,8,2323,23984
1533,1998,9,1833,23985
1534,1998,10,1470,23986
1535,1998,11,679,23987
1536,1998,12,143,23988
1537,1999,1,4,23989
1538,1999,2,35,23990
1539,1999,3,4,23991
1540,1999,4,522,23992
1541,1999,5,1256,23993
1542,1999,6,815,23994
1543,1999,7,1411,23995
1544,1999,8,739,23996
1545,1999,9,1403,23997
1546,1999,10,2470,23998
1547,1999,11,420,23999
1548,1999,12,83,24000
1549,2000,1,3,24001
1550,2000,2,172,24002
1551,2000,3,1,24003
1552,2000,4,477,24004
1553,2000,5,709,24005
1554,2000,6,811,24006
1555,2000,7,866,24007
1556,2000,8,1901,24008
1557,2000,9,1416,24009
1558,2000,10,1400,24010
1559,2000,11,167,24011
1560,2000,12,111,24012
1561,2001,1,27,24013
1562,2001,2,4,24014
1563,2001,3,37,24015
1564,2001,4,1254,24016
1565,2001,5,226,24017
1566,2001,6,497,24018
1567,2001,7,1011,24019
1568,2001,8,818,24020
1569,2001,9,1650,24021
1570,2001,10,1179,24022
1571,2001,11,415,24023
1572,2001,12,32,24024
1573,2002,1,78,24025
1574,2002,2,29,24026
1575,2002,3,46,24027
1576,2002,4,201,24028
1577,2002,5,1040,24029
1578,2002,6,1076,24030
1579,2002,7,365,24031
1580,2002,8,733,24032
1581,2002,9,696,24033
1582,2002,10,1291,24034
1583,2002,11,172,24035
1584,2002,12,35,24036
1585,2003,1,0,24037
1586,2003,2,71,24038
1587,2003,3,202,24039
1588,2003,4,380,24040
1589,2003,5,96,24041
1590,2003,6,639,24042
1591,2003,7,855,24043
1592,2003,8,1055,24044
1593,2003,9,268,24045
1594,2003,10,2181,24046
1595,2003,11,162,24047
1596,2003,12,4,24048
1597,2004,1,10,24049
1598,2004,2,3,24050
1599,2004,3,74,24051
1600,2004,4,751,24052
1601,2004,5,1638,24053
1602,2004,6,1333,24054
1603,2004,7,1591,24055
1604,2004,8,1066,24056
1605,2004,9,1148,24057
1606,2004,10,1360,24058
1607,2004,11,261,24059
1608,2004,12,0,24060
1609,2005,1,234,24061
1610,2005,2,50,24062
1611,2005,3,54,24063
1612,2005,4,547,24064
1613,2005,5,898,24065
1614,2005,6,1319,24066
1615,2005,7,3023,24067
1616,2005,8,2031,24068
1617,2005,9,1023,24069
1618,2005,10,3417,24070
1619,2005,11,576,24071
1620,2005,12,59,24072
1621,2006,1,1,24073
1622,2006,2,0,24074
1623,2006,3,642,24075
1624,2006,4,344,24076
1625,2006,5,1254,24077
1626,2006,6,2109,24078
1627,2006,7,809,24079
1628,2006,8,839,24080
1629,2006,9,620,24081
1630,2006,10,522,24082
1631,2006,11,704,24083
1632,2006,12,19,24084
1633,2007,1,0,24085
1634,2007,2,0,24086
1635,2007,3,32,24087
1636,2007,4,574,24088
1637,2007,5,814,24089
1638,2007,6,1667,24090
1639,2007,7,1536,24091
1640,2007,8,1767,24092
1641,2007,9,1296,24093
1642,2007,10,1650,24094
1643,2007,11,153,24095
1644,2007,12,168,24096
1645,2008,1,0,24097
1646,2008,2,194,24098
1647,2008,3,1111,24099
1648,2008,4,303,24100
1649,2008,5,719,24101
1650,2008,6,819,24102
1651,2008,7,1710,24103
1652,2008,8,2561,24104
1653,2008,9,886,24105
1654,2008,10,1311,24106
1655,2008,11,323,24107
1656,2008,12,25,24108
1657,2009,1,0,24109
1658,2009,2,0,24110
1659,2009,3,314,24111
1660,2009,4,244,24112
1661,2009,5,1038,24113
1662,2009,6,723,24114
1663,2009,7,2110,24115
1664,2009,8,1165,24116
1665,2009,9,2404,24117
1666,2009,10,1064,24118
1667,2009,11,854,24119
1668,2009,12,277,24120
1669,2010,1,175,24121
1670,2010,2,7,24122
1671,2010,3,73,24123
1672,2010,4,764,24124
1673,2010,5,1444,24125
1674,2010,6,986,24126
1675,2010,7,1438,24127
1676,2010,8,1691,24128
1677,2010,9,1460,24129
1678,2010,10,1371,24130
1679,2010,11,2332,24131
1680,2010,12,41,24132
1681,2011,1,2,24133
1682,2011,2,123,24134
1683,2011,3,90,24135
1684,2011,4,851,24136
1685,2011,5,967,24137
1686,2011,6,1164,24138
1687,2011,7,1292,24139
1688,2011,8,1411,24140
1689,2011,9,945,24141
1690,2011,10,1459,24142
1691,2011,11,646,24143
1692,2011,12,22,24144
